"relay.cool","already exists in StatusCake","relay.cool"
"dbasupport.com","already exists in StatusCake","dbasupport.com"
"softwarecritic.com","already exists in StatusCake","softwarecritic.com"
"demandfest.tech","already exists in StatusCake","demandfest.tech"
"eweek.com","already exists in StatusCake","eweek.com"
"developer.com","already exists in StatusCake","developer.com"
"4guysfromrolla.com","already exists in StatusCake","4guysfromrolla.com"
"cioinsight.com","already exists in StatusCake","cioinsight.com"
"itbusinessedge.com","already exists in StatusCake","itbusinessedge.com"
"enterprisenetworkingplanet.com","already exists in StatusCake","enterprisenetworkingplanet.com"
"datamation.com","already exists in StatusCake","datamation.com"
"infostor.com","already exists in StatusCake","infostor.com"
"itchannelplanet.com","already exists in StatusCake","itchannelplanet.com"
"migrationexpertzone.com","already exists in StatusCake","migrationexpertzone.com"
"jguru.com","already exists in StatusCake","jguru.com"
"eweekuk.com","already exists in StatusCake","www.eweekuk.com","200"
"activebizpro.com","do not put in StatusCake","error","error","HTTPConnectionPool(host='activebizpro.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f7fadc0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"activeitpro.asia","do not put in StatusCake","error","error","HTTPConnectionPool(host='activeitpro.asia', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f7fadc0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"it-papers.com","do not put in StatusCake","error","error","HTTPConnectionPool(host='it-papers.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f190f7fad00>, 'Connection to it-papers.com timed out. (connect timeout=10)'))"
"activeitpro.sg","do not put in StatusCake","error","error","HTTPConnectionPool(host='activeitpro.sg', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f190f77a730>, 'Connection to activeitpro.sg timed out. (connect timeout=10)'))"
"activetechpro.asia","do not put in StatusCake","error","error","HTTPConnectionPool(host='activetechpro.asia', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f77a2b0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"activebizpros.com.cn","do not put in StatusCake","error","error","HTTPConnectionPool(host='activebizpros.com.cn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f77a4f0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"activeitpro.com.sg","do not put in StatusCake","error","error","HTTPConnectionPool(host='activeitpro.com.sg', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f190f77a940>, 'Connection to activeitpro.com.sg timed out. (connect timeout=10)'))"
"activeitpro.com.au","do not put in StatusCake","error","error","HTTPConnectionPool(host='activeitpro.com.au', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f7e79d0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"australiandeveloper.com.au","do not put in StatusCake","error","error","HTTPConnectionPool(host='australiandeveloper.com.au', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f190f7e7c10>, 'Connection to australiandeveloper.com.au timed out. (connect timeout=10)'))"
"techproresearch.com","already exists in StatusCake","www.techrepublic.com/premium","200"
"techrepublic.fr","already exists in StatusCake","www.techrepublic.com","200"
"techepublic.com","do not put in StatusCake","error","error","HTTPConnectionPool(host='techepublic.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f78a370>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"techrepublic.com.au","already exists in StatusCake","www.techrepublic.com","200"
"techrepublic.info","already exists in StatusCake","www.techrepublic.com","200"
"technologyresourcelibrary.com","already exists in StatusCake","www.techrepublic.com","200"
"techrepublic.ca","do not put in StatusCake","error","error","HTTPConnectionPool(host='techrepublic.ca', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f78af10>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"techrepublic.com","already exists in StatusCake","www.techrepublic.com","200"
"techrepublic.org","already exists in StatusCake","www.techrepublic.com","200"
"techrepublic.jobs","already exists in StatusCake","www.techrepublic.com","200"
"techrepublic.xn--fiqs8s","do not put in StatusCake","error","error","HTTPConnectionPool(host='techrepublic.xn--fiqs8s', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f78abe0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"techrepublic.me","already exists in StatusCake","www.techrepublic.com","200"
"techrepublic.tel","already exists in StatusCake","www.techrepublic.com","200"
"techresearchpro.com","do not put in StatusCake","error","error","HTTPConnectionPool(host='techresearchpro.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f190f728130>, 'Connection to techresearchpro.com timed out. (connect timeout=10)'))"
"trstatic.com","do not put in StatusCake","error","error","HTTPConnectionPool(host='trstatic.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f77a970>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"virusthreatcenter.com","do not put in StatusCake","error","error","HTTPConnectionPool(host='virusthreatcenter.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f190f77a280>, 'Connection to virusthreatcenter.com timed out. (connect timeout=10)'))"
"wwwtechrepublic.com","do not put in StatusCake","error","error","HTTPConnectionPool(host='wwwtechrepublic.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f77ad00>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"flashkit.com","already exists in StatusCake","flashkit.com"
"codeguru.com","already exists in StatusCake","codeguru.com"
"sharkyforums.com","already exists in StatusCake","sharkyforums.com"
"justlinux.com","already exists in StatusCake","justlinux.com"
"webopedia.com","already exists in StatusCake","webopedia.com"
"channelinsider.com","already exists in StatusCake","channelinsider.com"
"enterprisemobiletoday.com","already exists in StatusCake","enterprisemobiletoday.com"
"enterprisestorageforum.com","already exists in StatusCake","enterprisestorageforum.com"
"thechannelinsider.com","already exists in StatusCake","www.thechannelinsider.com","200"
"activebizpros.co.uk","do not put in StatusCake","error","error","HTTPConnectionPool(host='activebizpros.co.uk', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f728e50>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"activeitpros.co.uk","do not put in StatusCake","error","error","HTTPConnectionPool(host='activeitpros.co.uk', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f190f728280>, 'Connection to activeitpros.co.uk timed out. (connect timeout=10)'))"
"activeitpros.com.cn","do not put in StatusCake","error","error","HTTPConnectionPool(host='activeitpros.com.cn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f7fa730>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"activebizpro.com.tw","do not put in StatusCake","error","error","HTTPConnectionPool(host='activebizpro.com.tw', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f7fa370>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"activetechpro.com","do not put in StatusCake","error","error","HTTPConnectionPool(host='activetechpro.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f7fadf0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"activetechpros.cn","do not put in StatusCake","error","error","HTTPConnectionPool(host='activetechpros.cn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f7fa730>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"activetechpros.com.cn","do not put in StatusCake","error","error","HTTPConnectionPool(host='activetechpros.com.cn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f7fa370>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"activeitpros.asia","do not put in StatusCake","error","error","HTTPConnectionPool(host='activeitpros.asia', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f7fadf0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"activeitpros.org","do not put in StatusCake","error","error","HTTPConnectionPool(host='activeitpros.org', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f7fa730>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"activeitpros.sg","do not put in StatusCake","error","error","HTTPConnectionPool(host='activeitpros.sg', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f7fa370>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"activesmb.com","do not put in StatusCake","error","error","HTTPConnectionPool(host='activesmb.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f7fadf0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"activetechpro.com.au","do not put in StatusCake","error","error","HTTPConnectionPool(host='activetechpro.com.au', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f190f7fa730>, 'Connection to activetechpro.com.au timed out. (connect timeout=10)'))"
"activetechpro.com.sg","do not put in StatusCake","error","error","HTTPConnectionPool(host='activetechpro.com.sg', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f190f799b50>, 'Connection to activetechpro.com.sg timed out. (connect timeout=10)'))"
"activetechpros.org","do not put in StatusCake","error","error","HTTPConnectionPool(host='activetechpros.org', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f71f880>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"activeitpro.com","do not put in StatusCake","error","error","HTTPConnectionPool(host='activeitpro.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f71feb0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
"activeitpro.net","do not put in StatusCake","error","error","HTTPConnectionPool(host='activeitpro.net', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f190f71ffa0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
